name,certificationBody,establishedYear,scope,issuedBy
Fair Trade Certified,Fairtrade International,1997,Social and economic standards,FLO-CERT
USDA Organic,United States Department of Agriculture,2002,Organic farming practices,USDA NOP
Rainforest Alliance Certified,Rainforest Alliance,1987,Environmental and social sustainability,Rainforest Alliance
4C Coffee Certification,4C Services,2006,Baseline sustainability standards,4C Association
UTZ Certified,UTZ (now part of Rainforest Alliance),2002,Sustainable farming and supply chain,UTZ Certification
Bird Friendly,Smithsonian Migratory Bird Center,1999,Shade-grown coffee with biodiversity,SMBC
